Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
SRPX2	HGNC:30668	SRPX2	sushi repeat containing protein X-linked 2	Enables hepatocyte growth factor binding activity; identical protein binding activity; and signaling receptor binding activity. Involved in several processes, including cell-cell adhesion; positive regulation of synapse assembly; and regulation of phosphorylation. Located in cytoplasm and extracellular space.	MGI:1916042:Srpx2
MME	Multiple entries : 2
CRABP2	HGNC:2339	CRABP2	cellular retinoic acid binding protein 2	Enables cyclin binding activity. Predicted to be involved in fatty acid transport. Predicted to act upstream of or within embryonic forelimb morphogenesis; positive regulation of collateral sprouting; and retinoic acid metabolic process. Located in cytosol and nucleoplasm.	MGI:88491:Crabp2
PRSS27	HGNC:15475	PRSS27	serine protease 27	Predicted to enable serine-type endopeptidase activity. Predicted to be involved in proteolysis. Predicted to be located in extracellular region and plasma membrane.	MGI:2450123:Prss27
TOX2	HGNC:16095	TOX2	TOX high mobility group box family member 2	Enables transcription coactivator activity. Involved in positive regulation of transcription by RNA polymerase II. Located in nucleoplasm.	MGI:3611233:Tox2
CACHD1	HGNC:29314	CACHD1	cache domain containing 1	Predicted to enable voltage-gated calcium channel activity. Predicted to be involved in calcium ion transmembrane transport. Predicted to be located in membrane. Predicted to be part of voltage-gated calcium channel complex.	MGI:2444177:Cachd1
CDH26	HGNC:15902	CDH26	cadherin 26	Enables several functions, including alpha-catenin binding activity; beta-catenin binding activity; and delta-catenin binding activity. Involved in CD4-positive, alpha-beta T cell activation. Located in microtubule cytoskeleton and plasma membrane.	MGI:2685856:Cdh26
THBD	HGNC:11784	THBD	thrombomodulin	Enables signaling receptor activity. Involved in negative regulation of blood coagulation. Located in cell surface. Part of serine-type endopeptidase complex. Is active in plasma membrane. Implicated in several diseases, including acute kidney failure; atypical hemolytic-uremic syndrome; cerebrovascular disease (multiple); rheumatoid arthritis; and thrombophilia (multiple). Biomarker of several diseases, including artery disease (multiple); autoimmune disease (multiple); end stage renal disease; familial combined hyperlipidemia; and lung disease (multiple).	MGI:98736:Thbd
PLAU	HGNC:9052	PLAU	plasminogen activator, urokinase	Predicted to enable serine-type endopeptidase activity. Involved in several processes, including plasminogen activation; regulation of cell adhesion mediated by integrin; and regulation of smooth muscle cell-matrix adhesion. Acts upstream of or within positive regulation of cell migration. Located in cell surface and extracellular space. Part of protein complex involved in cell-matrix adhesion; serine protease inhibitor complex; and serine-type endopeptidase complex. Implicated in several diseases, including Alzheimer's disease (multiple); Quebec platelet disorder; end stage renal disease; lung disease (multiple); and mitral valve prolapse. Biomarker of several diseases, including appendicitis; carcinoma (multiple); chronic obstructive pulmonary disease; end stage renal disease; and hepatitis B.	MGI:97611:Plau
ADA	HGNC:186	ADA	adenosine deaminase	Enables 2'-deoxyadenosine deaminase activity; adenosine deaminase activity; and zinc ion binding activity. Involved in several processes, including adenosine metabolic process; negative regulation of adenosine receptor signaling pathway; and regulation of cell-cell adhesion mediated by integrin. Acts upstream of or within adenosine catabolic process and inosine biosynthetic process. Located in cytosol; external side of plasma membrane; and lysosome. Implicated in asthma; colon cancer; pleural tuberculosis; severe combined immunodeficiency (multiple); and uterine fibroid. Biomarker of several diseases, including Legionnaires' disease; Q fever; gastric ulcer; gastrointestinal system cancer (multiple); and lung disease (multiple).	MGI:87916:Ada
CH17-335B8.4	not found
TG	HGNC:11764	TG	thyroglobulin	Enables identical protein binding activity. Involved in thyroid gland development and thyroid hormone generation. Located in extracellular space. Implicated in autoimmune disease of endocrine system (multiple); goiter; liver disease (multiple); and thyroid dyshormonogenesis 3. Biomarker of Graves' disease.	MGI:98733:Tg
ANXA1	HGNC:533	ANXA1	annexin A1	Enables several functions, including calcium-dependent phospholipid binding activity; calcium-dependent protein binding activity; and phospholipase A2 inhibitor activity. Involved in several processes, including leukocyte chemotaxis; regulation of T cell activation; and regulation of vesicle-mediated transport. Located in several cellular components, including actin filament; cornified envelope; and extracellular exosome. Implicated in brain ischemia and pancreatic cancer. Biomarker of several diseases, including dry eye syndrome; ductal carcinoma in situ; invasive ductal carcinoma; keratosis (multiple); and paranasal sinus benign neoplasm.	MGI:96819:Anxa1
DSG3	HGNC:3050	DSG3	desmoglein 3	Predicted to enable calcium ion binding activity and protein dimerization activity. Predicted to be involved in cell-cell adhesion. Located in plasma membrane.	MGI:99499:Dsg3
SLPI	HGNC:11092	SLPI	secretory leukocyte peptidase inhibitor	Enables enzyme binding activity; nucleic acid binding activity; and serine-type endopeptidase inhibitor activity. Involved in antibacterial humoral response and negative regulation of viral genome replication. Located in Golgi apparatus and extracellular space. Biomarker of severe acute respiratory syndrome.	MGI:109297:Slpi
CYP4B1	HGNC:2644	CYP4B1	cytochrome P450 family 4 subfamily B member 1	Predicted to enable monooxygenase activity and oxygen binding activity. Predicted to be involved in fatty acid metabolic process. Predicted to be located in endoplasmic reticulum membrane.	MGI:103225:Cyp4b1
TIAM1	HGNC:11805	TIAM1	TIAM Rac1 associated GEF 1	Enables guanyl-nucleotide exchange factor activity and kinase binding activity. Involved in several processes, including Rac protein signal transduction; activation of GTPase activity; and regulation of epithelial to mesenchymal transition. Located in cell-cell contact zone; cytosol; and plasma membrane. Implicated in neurodevelopmental disorder with language delay and seizures.	MGI:103306:Tiam1
GCLM	HGNC:4312	GCLM	glutamate-cysteine ligase modifier subunit	Enables glutamate-cysteine ligase catalytic subunit binding activity. Contributes to glutamate-cysteine ligase activity. Involved in several processes, including blood vessel diameter maintenance; glutamate metabolic process; and glutathione biosynthetic process. Part of glutamate-cysteine ligase complex. Implicated in myocardial infarction and vascular dementia.	MGI:104995:Gclm
APOBEC3G	HGNC:17357	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	Enables several functions, including cytidine deaminase activity; identical protein binding activity; and zinc ion binding activity. Involved in several processes, including DNA cytosine deamination; cytidine deamination; and defense response to symbiont. Located in P-body. Part of ribonucleoprotein complex.	MGI:1933111:Apobec3
PTGES	HGNC:9599	PTGES	prostaglandin E synthase	Enables several functions, including glutathione binding activity; glutathione peroxidase activity; and glutathione transferase activity. Involved in prostaglandin biosynthetic process. Located in membrane. Biomarker of carcinoma (multiple); endometriosis (multiple); in situ carcinoma (multiple); and penile benign neoplasm.	MGI:1927593:Ptges
PTX3	Multiple entries : 2
MAPK12	HGNC:6874	MAPK12	mitogen-activated protein kinase 12	Enables magnesium ion binding activity and protein serine/threonine kinase activity. Involved in myoblast differentiation and peptidyl-serine phosphorylation. Predicted to be located in cytosol and nucleoplasm. Predicted to be active in cytoplasm and nucleus.	MGI:1353438:Mapk12
DFNA5	HGNC:2810	GSDME	gasdermin E	Enables cardiolipin binding activity; phosphatidylinositol-4,5-bisphosphate binding activity; and wide pore channel activity. Involved in several processes, including granzyme-mediated programmed cell death signaling pathway; positive regulation of intracellular signal transduction; and pyroptotic cell death. Located in cytosol and plasma membrane. Is active in membrane. Implicated in autosomal dominant nonsyndromic deafness 5 and sensorineural hearing loss.	MGI:1889850:Gsdme
CNTNAP3B	HGNC:32035	CNTNAP3B	contactin associated protein family member 3B	Predicted to be involved in cell adhesion. Predicted to be located in membrane.	MGI:3588199:Cntnap3
BCL11A	HGNC:13221	BCL11A	BCL11 transcription factor A	Enables several functions, including DNA-binding transcription repressor activity, RNA polymerase II-specific; protein dimerization activity; and transcription coregulator activity. Involved in negative regulation of transcription by RNA polymerase II and regulation of neuron projection development. Located in paraspeckles. Part of SWI/SNF complex. Implicated in autism spectrum disorder; beta thalassemia; schizophrenia; and sickle cell anemia. Biomarker of lung non-small cell carcinoma.	MGI:106190:Bcl11a
EMP1	HGNC:3333	EMP1	epithelial membrane protein 1	Involved in apoptotic process and bleb assembly. Located in plasma membrane.	MGI:107941:Emp1
DAPL1	HGNC:21490	DAPL1	death associated protein like 1	Predicted to enable several functions, including death domain binding activity; ribosome binding activity; and translation initiation factor binding activity. Predicted to be involved in several processes, including cellular response to amino acid starvation; negative regulation of CD8-positive, alpha-beta T cell activation; and ribosome hibernation. Predicted to be located in membrane.	MGI:1923997:Dapl1
BAALC	HGNC:14333	BAALC	BAALC binder of MAP3K1 and KLF4	Located in cytosol and nucleoplasm.	MGI:1928704:Baalc
IRX3	HGNC:14360	IRX3	iroquois homeobox 3	Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in several processes, including His-Purkinje system development; positive regulation of gap junction assembly; and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within mesoderm development; negative regulation of neuron differentiation; and positive regulation of neuron differentiation. Predicted to be located in chromatin. Predicted to be active in nucleus.	MGI:1197522:Irx3
ST8SIA1	HGNC:10869	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	Enables alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity. Predicted to be involved in N-glycan processing; oligosaccharide metabolic process; and protein glycosylation. Predicted to act upstream of or within cellular response to heat and positive regulation of epithelial cell proliferation. Predicted to be located in Golgi membrane.	MGI:106011:St8sia1
PDCD1LG2	HGNC:18731	PDCD1LG2	programmed cell death 1 ligand 2	Involved in negative regulation of activated T cell proliferation; negative regulation of interleukin-10 production; and negative regulation of type II interferon production. Predicted to be located in plasma membrane. Predicted to be active in external side of plasma membrane. Biomarker of pulmonary tuberculosis.	MGI:1930125:Pdcd1lg2
OVOS2	not found
RAET1G	HGNC:16795	RAET1G	retinoic acid early transcript 1G	Enables natural killer cell lectin-like receptor binding activity. Involved in natural killer cell mediated cytotoxicity and positive regulation of natural killer cell cytokine production. Located in intracellular membrane-bounded organelle and plasma membrane.	MGI:1861032:Raet1d | MGI:109477:Raet1a | MGI:2675273:Raet1e | MGI:109432:Raet1b | MGI:109431:Raet1c
SERPINB4	HGNC:10570	SERPINB4	serpin family B member 4	Enables protease binding activity and serine-type endopeptidase inhibitor activity. Involved in negative regulation of peptidase activity and protection from natural killer cell mediated cytotoxicity. Located in cytosol and plasma membrane.	MGI:1277952:Serpinb3c | MGI:2683295:Serpinb3d | MGI:2683293:Serpinb3b | MGI:3573933:Serpinb3a
FAM83A	HGNC:28210	FAM83A	family with sequence similarity 83 member A	Enables identical protein binding activity; phosphatidylinositol 3-kinase regulatory subunit binding activity; and protein kinase binding activity. Involved in cell population proliferation and epidermal growth factor receptor signaling pathway. Predicted to be located in cytoplasm.	MGI:2447773:Fam83a
ADORA2B	HGNC:264	ADORA2B	adenosine A2b receptor	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in adenylate cyclase-activating G protein-coupled receptor signaling pathway and vasodilation. Predicted to act upstream of or within several processes, including positive regulation of chronic inflammatory response to non-antigenic stimulus; positive regulation of cytokine production; and positive regulation of guanylate cyclase activity. Predicted to be located in membrane and presynapse. Predicted to be active in Schaffer collateral - CA1 synapse; glutamatergic synapse; and plasma membrane.	MGI:99403:Adora2b
TNIP3	HGNC:19315	TNIP3	TNFAIP3 interacting protein 3	Enables polyubiquitin modification-dependent protein binding activity. Involved in cellular response to lipopolysaccharide; negative regulation of canonical NF-kappaB signal transduction; and pattern recognition receptor signaling pathway. Predicted to be located in cytosol.	MGI:3041165:Tnip3
SLC7A5	HGNC:11063	SLC7A5	solute carrier family 7 member 5	Enables L-amino acid transmembrane transporter activity and secondary active transmembrane transporter activity. Involved in carboxylic acid transport; thyroid hormone transport; and xenobiotic transport. Located in several cellular components, including apical plasma membrane; cytosol; and microvillus membrane. Part of amino acid transport complex. Implicated in cholangiocarcinoma; colon cancer; hepatocellular carcinoma; and lung squamous cell carcinoma. Biomarker of esophagitis; gastrointestinal system cancer (multiple); malignant astrocytoma (multiple); and respiratory system cancer (multiple).	MGI:1298205:Slc7a5
MAPK10	HGNC:6872	MAPK10	mitogen-activated protein kinase 10	Predicted to enable JUN kinase activity. Involved in protein phosphorylation. Located in nucleoplasm. Implicated in pancreatic adenocarcinoma. Biomarker of Alzheimer's disease.	MGI:1346863:Mapk10
TMEM132A	HGNC:31092	TMEM132A	transmembrane protein 132A	Predicted to enable protein homodimerization activity. Predicted to act upstream of or within negative regulation of protein catabolic process; positive regulation of Wnt protein secretion; and positive regulation of Wnt signaling pathway. Located in extracellular exosome.	MGI:2147810:Tmem132a
CYP4X1	HGNC:20244	CYP4X1	cytochrome P450 family 4 subfamily X member 1	Enables anandamide 14,15 epoxidase activity. Predicted to be involved in lipid metabolic process. Predicted to be located in endoplasmic reticulum membrane.	MGI:1932403:Cyp4x1
ULBP2	HGNC:14894	ULBP2	UL16 binding protein 2	Enables natural killer cell lectin-like receptor binding activity and receptor ligand activity. Involved in natural killer cell activation and natural killer cell mediated cytotoxicity. Located in several cellular components, including cell surface; extracellular space; and plasma membrane.	MGI:1861032:Raet1d | MGI:1925027:Ulbp1
DNAH11	HGNC:2942	DNAH11	dynein axonemal heavy chain 11	Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Involved in protein localization to motile cilium. Acts upstream of or within determination of left/right symmetry; flagellated sperm motility; and regulation of cilium beat frequency. Located in 9+2 motile cilium and proximal portion of axoneme. Implicated in Kartagener syndrome and primary ciliary dyskinesia 7.	MGI:1100864:Dnah11
AQP3	HGNC:636	AQP3	aquaporin 3 (Gill blood group)	Enables glycerol channel activity; identical protein binding activity; and water channel activity. Involved in several processes, including glycerol transmembrane transport; response to retinoic acid; and water transport. Acts upstream of or within cellular response to hypoxia. Located in several cellular components, including cell-cell junction; nucleoplasm; and plasma membrane. Biomarker of brain edema.	MGI:1333777:Aqp3
CAMK1D	HGNC:19341	CAMK1D	calcium/calmodulin dependent protein kinase ID	Enables calcium/calmodulin-dependent protein kinase activity. Involved in several processes, including positive regulation of CREB transcription factor activity; positive regulation of phagocytosis; and positive regulation of respiratory burst. Located in cytoplasm and nucleus.	MGI:2442190:Camk1d
ATP8B3	HGNC:13535	ATP8B3	ATPase phospholipid transporting 8B3	Predicted to enable ATPase-coupled intramembrane lipid transporter activity. Predicted to be involved in Golgi organization and phospholipid translocation. Predicted to act upstream of or within binding activity of sperm to zona pellucida and establishment of localization in cell. Predicted to be located in acrosomal membrane and endoplasmic reticulum membrane. Predicted to be active in plasma membrane and trans-Golgi network.	MGI:1914581:Atp8b3
KRT6B	HGNC:6444	KRT6B	keratin 6B	Predicted to be a structural constituent of skin epidermis. Predicted to be involved in intermediate filament organization and keratinization. Predicted to act upstream of or within morphogenesis of an epithelium. Located in extracellular exosome. Implicated in pachyonychia congenita.	MGI:1100845:Krt6a | MGI:1333768:Krt6b | MGI:3646939:Gm5414 | MGI:3646318:Gm5478
UPK3B	HGNC:21444	UPK3B	uroplakin 3B	Involved in negative regulation of gene expression. Predicted to be located in plasma membrane. Predicted to be active in membrane.	MGI:2140882:Upk3b
HSF2BP	HGNC:5226	HSF2BP	heat shock transcription factor 2 binding protein	Predicted to be involved in meiosis I and spermatogenesis. Located in chromosome; cytosol; and nucleoplasm. Implicated in primary ovarian insufficiency 19.	MGI:1921627:Hsf2bp
ALDH1A3	HGNC:409	ALDH1A3	aldehyde dehydrogenase 1 family member A3	Enables aldehyde dehydrogenase [NAD(P)+] activity; protein homodimerization activity; and retinal dehydrogenase activity. Involved in protein homotetramerization; retinal metabolic process; and retinoic acid biosynthetic process. Located in cytoplasm. Implicated in isolated microphthalmia 8.	MGI:1861722:Aldh1a3
MAPK11	HGNC:6873	MAPK11	mitogen-activated protein kinase 11	Enables MAP kinase activity. Involved in several processes, including MAPK cascade; cellular response to UV-B; and positive regulation of interleukin-12 production. Predicted to be located in nucleoplasm. Predicted to be active in cytosol and nucleus.	MGI:1338024:Mapk11
ESPN	HGNC:13281	ESPN	espin	Predicted to enable SH3 domain binding activity and actin filament binding activity. Involved in microvillar actin bundle assembly. Located in microvillus and stereocilium. Implicated in autosomal recessive nonsyndromic deafness 36.	MGI:1861630:Espn
IL12RB2	HGNC:5972	IL12RB2	interleukin 12 receptor subunit beta 2	Enables coreceptor activity. Involved in interleukin-12-mediated signaling pathway and positive regulation of type II interferon production. Located in plasma membrane.	MGI:1270861:Il12rb2
SPOCK3	HGNC:13565	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3	Enables metalloendopeptidase inhibitor activity. Involved in negative regulation of endopeptidase activity. Located in extracellular matrix and extracellular space.	MGI:1920152:Spock3
TENM2	HGNC:29943	TENM2	teneurin transmembrane protein 2	Enables cell adhesion molecule binding activity and signaling receptor binding activity. Involved in retrograde trans-synaptic signaling by trans-synaptic protein complex. Located in cell-cell junction and plasma membrane.	MGI:1345184:Tenm2
FABP5	Multiple entries : 2
NXN	HGNC:18008	NXN	nucleoredoxin	Predicted to enable thioredoxin-disulfide reductase (NADPH) activity. Involved in Wnt signaling pathway. Predicted to be located in cytosol. Predicted to be active in nucleus. Implicated in autosomal recessive Robinow syndrome 2.	MGI:109331:Nxn
CPA4	HGNC:15740	CPA4	carboxypeptidase A4	Enables metallocarboxypeptidase activity. Involved in hormone catabolic process and peptide catabolic process. Located in extracellular space.	MGI:1919041:Cpa4
CTSV	HGNC:2538	CTSV	cathepsin V	Predicted to enable cysteine-type endopeptidase activator activity involved in apoptotic process and cysteine-type endopeptidase activity. Predicted to be involved in immune response; positive regulation of apoptotic signaling pathway; and proteolysis involved in protein catabolic process. Predicted to be located in extracellular region and lysosomal lumen. Predicted to be active in extracellular space.	MGI:88564:Ctsl
KCNG1	HGNC:6248	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	Enables potassium channel regulator activity. Predicted to be involved in action potential; potassium ion transmembrane transport; and regulation of potassium ion transmembrane transport. Part of voltage-gated potassium channel complex.	MGI:3616086:Kcng1
MAF	HGNC:6776	MAF	MAF bZIP transcription factor	Enables identical protein binding activity and sequence-specific double-stranded DNA binding activity. Involved in megakaryocyte differentiation. Part of RNA polymerase II transcription regulator complex. Implicated in Ayme-Gripp syndrome; cataract; and cataract 21 multiple types.	MGI:96909:Maf
SEMA3F	HGNC:10728	SEMA3F	semaphorin 3F	Enables chemorepellent activity. Acts upstream of or within axon guidance. Predicted to be located in extracellular space. Predicted to be active in glutamatergic synapse and plasma membrane.	MGI:1096347:Sema3f
IL34	HGNC:28529	IL34	interleukin 34	Enables identical protein binding activity and macrophage colony-stimulating factor receptor binding activity. Involved in several processes, including interleukin-34-mediated signaling pathway; positive regulation of myeloid leukocyte differentiation; and positive regulation of protein phosphorylation. Acts upstream of or within positive regulation of MAP kinase activity and positive regulation of protein tyrosine kinase activity. Located in extracellular space.	MGI:1923777:Il34
DNER	HGNC:24456	DNER	delta/notch like EGF repeat containing	Predicted to enable Notch binding activity. Involved in central nervous system development. Located in dendrite; early endosome; and plasma membrane.	MGI:2152889:Dner
FBXO27	HGNC:18753	FBXO27	F-box protein 27	Predicted to contribute to ubiquitin protein ligase activity. Predicted to be involved in ERAD pathway; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; and glycoprotein catabolic process. Part of SCF ubiquitin ligase complex.	MGI:2685007:Fbxo27
MCTP1	HGNC:26183	MCTP1	multiple C2 and transmembrane domain containing 1	Enables calcium ion binding activity. Predicted to be involved in several processes, including modulation of chemical synaptic transmission; negative regulation of endocytosis; and negative regulation of response to oxidative stress. Located in membrane.	MGI:1926021:Mctp1
CHI3L2	HGNC:1933	CHI3L2	chitinase 3 like 2	Enables chitin binding activity. Predicted to be involved in chitin catabolic process. Located in extracellular space.	N.A.
EYA2	HGNC:3520	EYA2	EYA transcriptional coactivator and phosphatase 2	Enables histone H2AXY142 phosphatase activity and magnesium ion binding activity. Predicted to be involved in cell differentiation; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand; and positive regulation of DNA repair. Predicted to act upstream of or within apoptotic signaling pathway; protein dephosphorylation; and striated muscle tissue development. Located in cytosol.	MGI:109341:Eya2
SPRR1B	HGNC:11260	SPRR1B	small proline rich protein 1B	Predicted to enable structural molecule activity. Involved in keratinocyte differentiation and peptide cross-linking. Located in cornified envelope.	MGI:106659:Sprr1b
VSNL1	HGNC:12722	VSNL1	visinin like 1	Predicted to enable calcium ion binding activity. Predicted to act upstream of or within negative regulation of insulin secretion; positive regulation of exocytosis; and positive regulation of insulin secretion involved in cellular response to glucose stimulus. Predicted to be located in cytosol and membrane.	MGI:1349453:Vsnl1
SLITRK6	HGNC:23503	SLITRK6	SLIT and NTRK like family member 6	Acts upstream of or within synapse assembly. Located in cell surface and plasma membrane. Implicated in high myopia-sensorineural deafness syndrome.	MGI:2443198:Slitrk6
P2RY2	HGNC:8541	P2RY2	purinergic receptor P2Y2	Predicted to enable A1 adenosine receptor binding activity and G protein-coupled UTP receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway; regulation of presynaptic cytosolic calcium ion concentration; and regulation of synaptic vesicle exocytosis. Predicted to act upstream of or within positive regulation of mucus secretion. Predicted to be located in membrane. Predicted to be active in glutamatergic synapse and presynaptic active zone membrane.	MGI:105107:P2ry2
STOM	HGNC:3383	STOM	stomatin	Enables RNA polymerase binding activity and identical protein binding activity. Predicted to be involved in several processes, including positive regulation by host of viral genome replication; positive regulation of protein targeting to membrane; and positive regulation of viral process. Located in several cellular components, including endoplasmic reticulum; membrane raft; and mitochondrion.	MGI:95403:Stom
SAA1	Multiple entries : 2
ABCA4	HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Enables ATP hydrolysis activity; phosphatidylethanolamine flippase activity; and retinal binding activity. Involved in phospholipid translocation and retinal metabolic process. Located in cytoplasmic vesicle and endoplasmic reticulum. Implicated in fundus dystrophy and retinal degeneration (multiple).	MGI:109424:Abca4
KRT16	HGNC:6423	KRT16	keratin 16	Predicted to enable structural molecule activity. Predicted to be a structural constituent of cytoskeleton. Involved in hair cycle and negative regulation of cell migration. Located in cytoskeleton. Implicated in ectodermal dysplasia; focal nonepidermolytic palmoplantar keratoderma 1; and pachyonychia congenita.	MGI:96690:Krt16
AKR1C2	HGNC:385	AKR1C2	aldo-keto reductase family 1 member C2	Enables several functions, including aldose reductase (NADPH) activity; ketosteroid monooxygenase activity; and trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity. Involved in several processes, including cellular response to prostaglandin D stimulus; doxorubicin metabolic process; and positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction. Predicted to be located in cytoplasm. Predicted to be active in cytosol. Implicated in 46,XY sex reversal 8. Biomarker of obesity.	MGI:1918111:Akr1cl | MGI:2145458:Akr1c14 | MGI:1933427:Akr1c6 | MGI:1924587:Akr1c21 | MGI:2151104:Akr1c20
TLR6	HGNC:16711	TLR6	toll like receptor 6	Enables Toll-like receptor 2 binding activity; identical protein binding activity; and protein heterodimerization activity. Involved in several processes, including cellular response to amyloid-beta; cellular response to oxidised low-density lipoprotein particle stimulus; and regulation of innate immune response. Acts upstream of or within positive regulation of intracellular signal transduction and response to diacyl bacterial lipopeptide. Located in Golgi apparatus and membrane raft. Part of Toll-like receptor 2-Toll-like receptor 6 protein complex. Implicated in aspergillosis; asthma; infective endocarditis; rhinitis; and tuberculosis.	MGI:1341296:Tlr6
RAET1E	HGNC:16793	RAET1E	retinoic acid early transcript 1E	Enables natural killer cell lectin-like receptor binding activity. Involved in natural killer cell mediated cytotoxicity and positive regulation of natural killer cell mediated cytotoxicity. Predicted to be located in plasma membrane. Predicted to be active in external side of plasma membrane and extracellular space.	MGI:1925027:Ulbp1
STARD5	HGNC:18065	STARD5	StAR related lipid transfer domain containing 5	Enables cholesterol binding activity and cholesterol transfer activity. Involved in cholesterol import. Predicted to be located in cytosol.	MGI:2156765:Stard5
KRT81	HGNC:6458	KRT81	keratin 81	Predicted to be a structural constituent of skin epidermis. Predicted to be involved in intermediate filament organization and keratinization. Located in extracellular space. Implicated in breast cancer; hair disease; and monilethrix.	MGI:3665486:Krt87 | MGI:1928858:Krt81
LRFN1	HGNC:29290	LRFN1	leucine rich repeat and fibronectin type III domain containing 1	Predicted to be involved in regulation of postsynaptic density assembly. Predicted to be located in plasma membrane. Predicted to be active in cell surface; postsynaptic density membrane; and presynaptic active zone membrane.	MGI:2136810:Lrfn1
WNT7B	HGNC:12787	WNT7B	Wnt family member 7B	Enables receptor ligand activity. Involved in several processes, including canonical Wnt signaling pathway; cellular response to retinoic acid; and nervous system development. Predicted to be located in cell surface. Predicted to be active in extracellular space. Biomarker of breast cancer; breast fibroadenoma; and urinary bladder cancer.	MGI:98962:Wnt7b
RIMBP3B	HGNC:33891	RIMBP3B	RIMS binding protein 3B	Predicted to enable benzodiazepine receptor binding activity. Predicted to be involved in fertilization and spermatid development. Predicted to be located in manchette. Predicted to be active in nucleus.	MGI:2685449:Rimbp3
ETNK2	HGNC:25575	ETNK2	ethanolamine kinase 2	Predicted to enable ethanolamine kinase activity. Predicted to be involved in phosphatidylethanolamine biosynthetic process. Predicted to act upstream of or within in utero embryonic development; placenta development; and post-embryonic development. Predicted to be located in cytosol. Predicted to be active in cytoplasm.	MGI:2443760:Etnk2
NRG1	HGNC:7997	NRG1	neuregulin 1	Enables protein tyrosine kinase activator activity; signaling receptor binding activity; and transcription coregulator activity. Involved in several processes, including cell surface receptor protein tyrosine kinase signaling pathway; heart development; and positive regulation of protein phosphorylation. Acts upstream of or within negative regulation of DNA-templated transcription. Located in apical plasma membrane and nucleoplasm. Is active in extracellular space and glutamatergic synapse. Implicated in several diseases, including cannabis dependence; cerebral malaria; cerebrovascular disease (multiple); psychotic disorder (multiple); and substance abuse (multiple). Biomarker of Alzheimer's disease; cannabis abuse; hepatocellular carcinoma; major depressive disorder; and ovarian cancer.	MGI:96083:Nrg1
TGFBI	HGNC:11771	TGFBI	transforming growth factor beta induced	Enables collagen binding activity and identical protein binding activity. Involved in angiogenesis. Located in extracellular space and trans-Golgi network. Implicated in corneal dystrophy (multiple).	MGI:99959:Tgfbi
TNNT1	HGNC:11948	TNNT1	troponin T1, slow skeletal type	Enables tropomyosin binding activity. Involved in negative regulation of muscle contraction and skeletal muscle contraction. Part of troponin complex. Implicated in nemaline myopathy 5A; nemaline myopathy 5B; and nemaline myopathy 5C.	MGI:1333868:Tnnt1
MARK1	HGNC:6896	MARK1	microtubule affinity regulating kinase 1	Enables several functions, including ATP binding activity; phospholipid binding activity; and protein kinase activity. Involved in intracellular signal transduction; negative regulation of epithelial to mesenchymal transition; and protein phosphorylation. Located in cytoplasm; dendrite; and plasma membrane.	MGI:2664902:Mark1
FAM225A	HGNC:27855	FAM225A	family with sequence similarity 225 member A	No description available	N.A.
ATP6V0A4	HGNC:866	ATP6V0A4	ATPase H+ transporting V0 subunit a4	Enables ATPase binding activity. Involved in several processes, including proton transmembrane transport; renal tubular secretion; and sensory perception of sound. Located in apical plasma membrane and brush border membrane. Part of vacuolar proton-transporting V-type ATPase complex. Implicated in renal tubular acidosis.	MGI:2153480:Atp6v0a4
RDX	HGNC:9944	RDX	radixin	Enables ATPase binding activity and actin binding activity. Involved in several processes, including negative regulation of GTPase activity; positive regulation of macromolecule metabolic process; and regulation of organelle organization. Located in apical plasma membrane and focal adhesion. Implicated in autosomal recessive nonsyndromic deafness 24.	MGI:97887:Rdx
FIGN	HGNC:13285	FIGN	fidgetin, microtubule severing factor	Predicted to enable ATP hydrolysis activity and microtubule severing ATPase activity. Predicted to be involved in cell division and microtubule cytoskeleton organization. Predicted to act upstream of or within locomotory behavior. Predicted to be located in nuclear matrix.	MGI:1890647:Fign
FBXO17	HGNC:18754	FBXO17	F-box protein 17	Predicted to contribute to ubiquitin protein ligase activity. Predicted to be involved in ERAD pathway; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; and glycoprotein catabolic process. Part of SCF ubiquitin ligase complex.	MGI:1354707:Fbxo17
SAA2	Multiple entries : 2
CD1A	Multiple entries : 5
